model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Citeseer,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.919±0.007,0.632±0.015,0.639±0.024,0.639±0.024,0.01±0.00s
LP,Citeseer,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.900±0.006,0.602±0.018,0.605±0.027,0.605±0.027,0.01±0.00s
LP,Citeseer,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.901±0.008,0.579±0.012,0.575±0.015,0.575±0.015,0.01±0.00s
LP,Citeseer,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.899±0.008,0.538±0.020,0.530±0.014,0.530±0.014,0.01±0.00s
LP,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.918±0.010,0.479±0.031,0.484±0.018,0.484±0.018,0.01±0.00s
