model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
GCNmf,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.850±0.010,0.875±0.015,0.875±0.012,0.875±0.012,6.62±0.74s
GCNmf,Cora,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.758±0.013,0.860±0.014,0.854±0.012,0.854±0.012,6.67±1.14s
GCNmf,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.673±0.013,0.847±0.015,0.847±0.011,0.847±0.011,5.97±0.42s
GCNmf,Cora,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.586±0.021,0.828±0.015,0.818±0.019,0.818±0.019,5.47±0.46s
GCNmf,Cora,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.531±0.006,0.797±0.012,0.796±0.027,0.796±0.027,5.58±0.30s
