model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
GCNmf,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.390±0.112,0.390±0.104,0.375±0.088,0.375±0.088,6.92±3.90s
GCNmf,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.579±0.043,0.516±0.023,0.512±0.038,0.512±0.038,19.89±2.74s
