model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
PaGNN,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.839±0.009,0.865±0.014,0.863±0.014,0.863±0.014,1.67±0.25s
PaGNN,Cora,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.751±0.006,0.854±0.012,0.851±0.018,0.851±0.018,1.69±0.27s
PaGNN,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.662±0.016,0.835±0.013,0.839±0.008,0.839±0.008,1.47±0.23s
PaGNN,Cora,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.582±0.018,0.819±0.014,0.816±0.013,0.816±0.013,1.36±0.18s
PaGNN,Cora,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.514±0.010,0.791±0.014,0.790±0.024,0.790±0.024,1.30±0.07s
