model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.01,0.853±0.008,0.827±0.003,0.828±0.004,0.828±0.004,2.19±0.81s

// hyper-search やり直し
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.9,0.01,0.856±0.007,0.828±0.005,0.826±0.005,0.826±0.005,2.28±0.72s
