model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Pubmed,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.0,0.0,0.99,1.0,0.937±0.010,0.884±0.003,0.887±0.004,0.887±0.004,3.85±0.35s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.0,0.0,0.99,1.0,0.918±0.009,0.858±0.004,0.859±0.003,0.859±0.003,3.99±0.27s
LRGCN,Pubmed,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.0,0.0,0.99,1.0,0.866±0.004,0.825±0.004,0.827±0.003,0.827±0.003,4.41±0.52s
LRGCN,Pubmed,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.0,0.0,0.99,1.0,0.950±0.006,0.890±0.001,0.892±0.004,0.892±0.004,5.38±1.33s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.0,0.0,0.99,1.0,0.914±0.007,0.862±0.003,0.861±0.003,0.861±0.003,4.89±0.60s
LRGCN,Pubmed,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.0,0.0,0.99,1.0,0.865±0.003,0.827±0.004,0.828±0.004,0.828±0.004,5.18±0.48s
