model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
GCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.473±0.141,0.446±0.119,0.446±0.121,0.446±0.121,1.06±0.69s

// hyper-search やり直し
GCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.443±0.031,0.384±0.018,0.383±0.021,0.383±0.021,0.18±0.02s
