model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Wisconsin,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.759±0.127,0.639±0.056,0.598±0.067,0.598±0.067,1.30±0.42s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.710±0.140,0.607±0.045,0.551±0.071,0.551±0.071,1.44±0.40s
Goodie,Wisconsin,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.490±0.052,0.506±0.064,0.476±0.046,0.476±0.046,0.90±0.35s
