model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.992±0.028,0.762±0.062,0.709±0.075,0.709±0.075,0.83±0.41s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.999±0.005,0.710±0.070,0.641±0.059,0.641±0.059,0.73±0.40s
LRGCN,Cornell,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.742±0.092,0.552±0.058,0.536±0.058,0.536±0.058,0.47±0.08s
LRGCN,Cornell,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.959±0.095,0.730±0.117,0.694±0.073,0.694±0.073,0.71±0.25s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.960±0.093,0.685±0.079,0.616±0.089,0.616±0.089,0.58±0.16s
LRGCN,Cornell,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.0,0.0,0.99,1.0,0.720±0.094,0.544±0.060,0.524±0.082,0.524±0.082,0.57±0.17s
