model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.001,0.846±0.008,0.682±0.014,0.672±0.017,0.672±0.017,1.77±0.24s

// hyper-search やり直し
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.01,0.848±0.010,0.679±0.012,0.668±0.012,0.668±0.012,1.17±0.28s


// struct missing
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.01,0.848±0.009,0.678±0.013,0.666±0.011,0.666±0.011,1.18±0.40s
