model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.001,0.897±0.020,0.722±0.017,0.708±0.018,0.708±0.018,2.01±0.22s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.001,0.845±0.010,0.690±0.016,0.676±0.014,0.676±0.014,1.82±0.38s
Goodie,Citeseer,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.001,0.846±0.007,0.682±0.014,0.672±0.017,0.672±0.017,1.83±0.27s
