model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.0,0.0,0.99,1.0,0.993±0.011,0.949±0.004,0.943±0.004,0.943±0.004,31.60±12.28s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.0,0.0,0.99,1.0,0.981±0.004,0.938±0.006,0.933±0.006,0.933±0.006,19.46±5.32s
LRGCN,Photo,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.0,0.0,0.99,1.0,0.941±0.001,0.919±0.004,0.920±0.006,0.920±0.006,26.27±5.87s
