model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cornell,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.999,0.1,0.783±0.079,0.566±0.061,0.564±0.069,0.564±0.069,1.24±0.22s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.999,0.1,0.665±0.125,0.524±0.066,0.524±0.062,0.524±0.062,1.33±0.37s
Goodie,Cornell,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.999,0.1,0.448±0.045,0.459±0.057,0.459±0.062,0.459±0.062,0.96±0.39s
