model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,0.1,0.881±0.095,0.712±0.056,0.667±0.068,0.667±0.068,1.16±0.19s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,0.1,0.796±0.096,0.673±0.052,0.648±0.063,0.648±0.063,1.14±0.20s
Goodie,Texas,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,0.1,0.619±0.051,0.616±0.057,0.605±0.065,0.605±0.065,1.33±0.29s
