model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.828±0.025,0.802±0.009,0.743±0.010,0.743±0.010,0.65±0.03s
LRGCN,Citeseer,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.767±0.020,0.796±0.013,0.727±0.010,0.727±0.010,0.65±0.04s
LRGCN,Citeseer,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.710±0.021,0.798±0.011,0.715±0.012,0.715±0.012,0.64±0.02s
LRGCN,Citeseer,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.663±0.011,0.787±0.012,0.696±0.014,0.696±0.014,0.64±0.04s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.0,0.0,0.99,1.0,0.627±0.035,0.771±0.013,0.665±0.018,0.665±0.018,0.64±0.03s
