model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.0,0.0,0.9,1.0,0.924±0.003,0.910±0.004,0.909±0.004,0.909±0.004,16.19±2.23s

// hyper-search やり直し
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,0.01,0.923±0.005,0.912±0.006,0.910±0.005,0.910±0.005,4.70±1.06s
