model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
GCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.597±0.068,0.539±0.053,0.544±0.069,0.544±0.069,0.16±0.01s

// hyper-search やり直し
GCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.550±0.045,0.539±0.057,0.571±0.069,0.571±0.069,0.24±0.06s
