model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
GCN,Citeseer,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.810±0.012,0.760±0.011,0.748±0.009,0.748±0.009,0.64±0.09s
GCN,Citeseer,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.679±0.034,0.751±0.015,0.736±0.008,0.736±0.008,0.44±0.10s
GCN,Citeseer,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.623±0.029,0.739±0.014,0.730±0.004,0.730±0.004,0.43±0.06s
GCN,Citeseer,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.543±0.030,0.725±0.017,0.721±0.009,0.721±0.009,0.40±0.02s
GCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.488±0.024,0.700±0.019,0.696±0.022,0.696±0.022,0.39±0.04s
