model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.927±0.012,0.836±0.017,0.835±0.014,0.835±0.014,2.09±0.43s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.926±0.012,0.834±0.015,0.834±0.010,0.834±0.010,2.36±0.79s
Goodie,Cora,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.909±0.010,0.836±0.021,0.839±0.014,0.839±0.014,2.44±0.91s
