model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.911±0.006,0.836±0.018,0.833±0.019,0.833±0.019,2.50±0.93s

// hyper-search やり直し
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.01,0.911±0.008,0.843±0.016,0.844±0.013,0.844±0.013,1.40±0.28s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.9,0.01,0.911±0.008,0.843±0.017,0.843±0.012,0.843±0.012,1.33±0.34s
