model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.850±0.016,0.821±0.017,0.826±0.016,0.826±0.016,1.93±0.22s
Goodie,Cora,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.774±0.009,0.801±0.014,0.800±0.017,0.800±0.017,2.08±0.14s
Goodie,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.693±0.015,0.768±0.014,0.772±0.010,0.772±0.010,2.19±0.22s
Goodie,Cora,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.647±0.020,0.732±0.018,0.724±0.012,0.724±0.012,2.30±0.16s
Goodie,Cora,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.0,0.0,0.9,1.0,0.551±0.090,0.647±0.059,0.648±0.078,0.648±0.078,2.09±0.56s
