model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.947±0.001,0.812±0.016,0.821±0.016,0.821±0.016,0.01±0.00s
LP,Cora,uniform,0.2,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.915±0.009,0.795±0.018,0.798±0.016,0.798±0.016,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.904±0.007,0.765±0.017,0.771±0.003,0.771±0.003,0.01±0.00s
LP,Cora,uniform,0.4,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.916±0.003,0.729±0.015,0.727±0.008,0.727±0.008,0.01±0.00s
LP,Cora,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.935±0.010,0.685±0.013,0.680±0.017,0.680±0.017,0.01±0.00s
