model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,airgnn_alpha,airgnn_lambda_amp,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
GCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.0,0.0,0.99,1.0,0.690±0.043,0.688±0.041,0.688±0.045,0.688±0.045,2.60±1.18s

// hyper-search やり直し
GCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.0,0.0,0.99,1.0,0.596±0.003,0.587±0.008,0.590±0.010,0.590±0.010,0.22±0.02s
